Starting Price: $10.00
On day 1 $11.23
On day 2 $12.01
On day 3 $12.10
On day 4 $11.94
On day 5 $11.76
On day 6 $11.39
On day 7 $13.10
On day 8 $15.17
On day 9 $14.79
On day 10 $14.27
On day 11 $14.26
On day 12 $15.25
On day 13 $14.88
On day 14 $14.88
On day 15 $16.66
On day 16 $16.45
On day 17 $16.87
On day 18 $19.24
On day 19 $19.88
On day 20 $23.03
On day 21 $22.54
On day 22 $23.30
On day 23 $23.28
On day 24 $22.90
On day 25 $22.78
On day 26 $24.46
On day 27 $23.83
On day 28 $23.76
On day 29 $23.40
On day 30 $27.25
On day 31 $31.03
On day 32 $34.56
On day 33 $33.58
On day 34 $34.62
On day 35 $34.94
On day 36 $38.85
On day 37 $43.35
On day 38 $47.93
On day 39 $47.08
On day 40 $54.85
On day 41 $54.73
On day 42 $52.38
On day 43 $50.14
On day 44 $49.41
On day 45 $47.82
On day 46 $46.64
On day 47 $44.57
On day 48 $43.85
On day 49 $44.00
On day 50 $49.58
On day 51 $54.99
On day 52 $52.87
On day 53 $61.96
On day 54 $70.69
On day 55 $69.41
On day 56 $75.30
On day 57 $75.78
On day 58 $85.29
On day 59 $83.71
On day 60 $86.06
On day 61 $95.91
On day 62 $94.91
On day 63 $93.41
On day 64 $90.17
On day 65 $86.12
On day 66 $82.84
On day 67 $78.83
On day 68 $87.76
On day 69 $86.51
On day 70 $85.08
On day 71 $84.26
On day 72 $81.57
On day 73 $91.42
On day 74 $99.17
On day 75 $94.79
On day 76 $106.63
